FIPS,StateFIPS,TotPop,NHisWhite,NHisBlack,NHisOther,HisWhite,HisBlack,HisOther
C01001,C01,43671,34823,7428,810,398,45,167
C01003,C01,140415,120868,14357,2724,1498,87,881
C01005,C01,29038,14788,13369,403,99,82,297
C01007,C01,20826,15870,4584,162,96,40,74
C01009,C01,51024,46999,598,709,1513,8,1197
C01011,C01,11714,2764,8486,142,194,78,50
C01013,C01,21399,12429,8671,156,63,61,19
C01015,C01,112249,87598,20725,2173,939,85,729
C01017,C01,36583,22111,13872,320,160,71,49
C01019,C01,23988,22164,1327,293,104,3,97
C01021,C01,39593,33897,4131,413,433,69,650
C01023,C01,15922,8724,6985,106,55,42,10
C01025,C01,27867,15519,11918,250,70,71,39
C01027,C01,14254,11616,2219,166,160,19,74
C01029,C01,14123,13235,521,169,145,2,51
C01031,C01,43615,32971,7950,1511,660,63,460
C01033,C01,54984,44470,9096,800,355,41,222
C01035,C01,14089,7760,6091,136,46,45,11
C01037,C01,12202,7742,4147,155,60,25,73
C01039,C01,37631,32247,4618,474,189,30,73
C01041,C01,13665,10042,3369,167,46,19,22
C01043,C01,77483,73940,726,1129,1071,17,600
C01045,C01,49129,35771,9902,1814,770,100,772
C01047,C01,46365,16417,29201,457,79,131,80
C01049,C01,64452,58436,1064,1374,1216,19,2343
C01051,C01,65874,50376,13505,1188,361,92,352
C01053,C01,38440,24575,11799,1687,179,38,162
C01055,C01,103459,84919,15120,1657,818,71,874
C01057,C01,18495,15994,2199,150,81,8,63
C01059,C01,31223,27268,1307,332,733,7,1576
C01061,C01,25764,22181,2725,405,261,18,174
C01063,C01,9974,1898,7964,54,6,49,3
C01065,C01,17185,6803,10074,151,41,57,59
C01067,C01,16310,10647,5247,167,63,21,165
C01069,C01,88787,64312,21703,1650,574,137,411
C01071,C01,53926,49200,2002,2114,352,17,241
C01073,C01,662047,379707,259623,12433,4932,985,4367
C01075,C01,15904,13695,1899,103,121,7,79
C01077,C01,87966,77240,8624,1208,503,39,352
C01079,C01,34803,26899,4613,2924,168,35,164
C01081,C01,115092,84298,25954,3195,949,117,579
C01083,C01,65676,54142,8703,1091,887,49,804
C01085,C01,13473,3464,9841,83,20,44,21
C01087,C01,24105,3331,20298,303,34,105,34
C01089,C01,276700,196496,62602,12376,2905,423,1898
C01091,C01,22539,10582,11581,157,75,74,70
C01093,C01,31214,29387,1131,336,192,3,165
C01095,C01,82231,75081,1194,1300,1710,13,2933
C01097,C01,399843,249763,132845,12348,2436,620,1831
C01099,C01,24324,13962,9683,489,85,64,41
C01101,C01,223510,107858,108146,4841,1322,437,906
C01103,C01,111064,92584,12383,2452,1901,102,1642
