FIPS,StateFIPS,TotPop,NHisWhite,NHisBlack,NHisOther,HisWhite,HisBlack,HisOther
C06023,C06,134623,103958,1393,16061,5962,112,7137
C06025,C06,174528,23927,5114,5216,78626,659,60986
C06027,C06,18546,12296,102,2551,1445,7,2145
C06029,C06,839631,323794,45377,57427,175972,3544,233517
C06031,C06,152982,53879,10314,10923,29148,700,48018
C06033,C06,64665,47938,1186,4453,4095,46,6947
C06035,C06,34895,23270,2790,2718,2262,44,3811
C06037,C06,9818605,2728321,815086,1587309,2208278,41788,2437823
C06039,C06,150865,57380,5009,7484,37076,620,43296
C06041,C06,252409,183830,6621,22889,18133,366,20570
C06043,C06,18251,15192,129,1254,911,9,756
C06045,C06,87841,60249,544,7543,6969,78,12458
C06047,C06,255793,81599,8785,24924,66782,1141,72562
C06049,C06,9686,7649,77,618,435,5,902
C06051,C06,14202,9687,42,711,2010,5,1747
C06053,C06,415057,136435,11300,37319,94282,1485,134236
C06055,C06,136484,76967,2440,13067,20558,228,23224
C06057,C06,98764,85477,341,4507,4756,48,3635
C06059,C06,3010232,1328499,44000,624760,502259,6744,503970
C06061,C06,348432,265294,4427,34001,25683,324,18703
C06063,C06,20007,17015,181,1206,782,11,812
C06065,C06,2189641,869068,130823,194493,466079,9720,519458
C06067,C06,1418788,687166,139949,285477,127985,7109,171102
C06069,C06,55269,21154,355,2574,14027,128,17031
C06071,C06,2035210,677598,170700,185767,475563,11162,514420
C06073,C06,3095313,1500047,146600,457318,481395,11613,498340
C06075,C06,805235,337451,46781,299229,52936,2089,66749
C06077,C06,685306,245919,48540,124506,103368,3204,159769
C06079,C06,269637,191696,5128,16840,31060,422,24491
C06081,C06,718451,303609,18763,213577,79926,1673,100903
C06083,C06,423895,203122,7242,31844,92002,1271,88414
C06085,C06,1781642,626909,42331,633192,209707,4097,265406
C06087,C06,262382,156397,2304,19589,33811,462,49819
C06089,C06,177223,146044,1438,14863,7682,110,7086
C06091,C06,3240,2855,5,111,167,1,101
C06093,C06,44900,35683,552,4050,2347,19,2249
C06095,C06,413344,168628,58743,86617,42123,2007,55226
C06097,C06,483878,320027,6769,36652,51385,841,68204
C06099,C06,514453,240423,13065,45307,96919,1656,117083
C06101,C06,94737,47782,1713,17991,9967,206,17078
C06103,C06,63463,45603,349,3605,6118,57,7731
C06105,C06,13786,11518,45,1264,515,14,430
C06107,C06,442179,143935,5497,24682,121683,1699,144683
C06109,C06,55365,45325,1114,3008,2949,29,2940
C06111,C06,823318,400868,13082,77801,164936,2081,164550
C06113,C06,200849,100240,4752,34904,26643,456,33854
C06115,C06,72155,42416,2122,9566,6916,239,10896
C08001,C08,441603,234970,12207,26548,88825,1332,77721
C08003,C08,15445,7667,138,530,3882,34,3194
C08005,C08,572003,361747,55657,49077,54163,2450,48909
C08007,C08,12084,9446,33,457,990,4,1154
C08009,C08,3788,3323,20,97,183,4,161
C08011,C08,6499,3832,491,191,1317,5,663
C08013,C08,294567,233741,2265,19285,23148,267,15861
C08014,C08,55889,44358,530,4785,3741,57,2418
C08015,C08,17809,15417,267,447,1181,8,489
C08017,C08,1836,1617,7,34,94,0,84
C08019,C08,9088,8371,50,238,293,6,130
C08021,C08,8256,3451,12,173,2842,15,1763
C08023,C08,3524,1086,6,105,1311,18,998
C08025,C08,5823,3369,555,213,1140,4,542
C08027,C08,4255,3914,41,100,141,3,56
C08029,C08,30952,25685,137,785,2076,23,2246
C08031,C08,600158,313012,58388,37793,100684,3047,87234
C08033,C08,2064,1877,3,102,43,1,38
C08035,C08,285465,243297,3245,17531,14301,231,6860
C08037,C08,52197,35105,243,1160,8297,116,7276
C08039,C08,23086,21005,159,688,856,5,373
C08041,C08,622263,447947,35792,44859,48311,2700,42654
C08043,C08,46824,37647,1805,1602,4578,38,1154
C08045,C08,56389,38784,236,1391,7583,149,8246
C08047,C08,5441,4947,28,199,210,0,57
C08049,C08,14843,13313,51,363,564,6,546
C08051,C08,15324,13658,45,366,494,3,758
C08053,C08,843,786,3,30,16,0,8
C08055,C08,6711,4151,22,170,1409,13,946
C08057,C08,1394,1219,0,25,71,0,79
C08059,C08,534543,427160,5001,25937,45534,666,30245
C08061,C08,1398,1304,3,13,42,1,35
C08063,C08,8270,6320,217,159,996,8,570
C08065,C08,7310,4252,22,178,1646,5,1207
C08067,C08,51334,41245,176,3857,3301,28,2727
C08069,C08,299630,253047,2259,12696,18220,241,13167
C08071,C08,15507,8399,195,467,4568,23,1855
C08073,C08,5467,4345,280,159,523,10,150
C08075,C08,22709,17754,881,523,2459,19,1073
C08077,C08,146723,121944,776,4451,9237,159,10156
C08079,C08,712,678,2,11,15,0,6
C08081,C08,13795,11412,32,366,1010,10,965
C08083,C08,25535,19168,47,3502,1536,11,1271
C08085,C08,41276,31989,118,1042,3815,44,4268
C08087,C08,28159,17370,755,528,4990,53,4463
C08089,C08,18831,10639,93,503,4149,50,3397
C08091,C08,4436,4143,6,91,134,1,61
C08093,C08,16206,14842,69,512,510,0,273
C08095,C08,4442,3526,14,72,435,4,391
C08097,C08,17148,15067,82,438,961,11,589
C08099,C08,12551,7873,54,207,2292,10,2115
C08101,C08,159063,86054,2646,4552,40175,576,25060
C08103,C08,6666,5756,49,196,367,1,297
C08105,C08,11982,6600,25,271,2779,18,2289
C08107,C08,23509,21310,91,508,969,8,623
C08109,C08,6108,3446,11,199,1578,3,871
C08111,C08,699,595,0,20,52,0,32
C08113,C08,7359,6514,19,196,323,10,297
C08115,C08,2379,2036,7,47,158,1,130
C08117,C08,27994,23158,208,639,1945,22,2022
C08119,C08,23350,21148,104,804,860,6,428
C08121,C08,4814,4306,30,71,282,0,125
C08123,C08,252825,170827,2054,8264,38767,419,32494
C08125,C08,10043,7824,16,115,1037,2,1049
C09001,C09,916829,606716,92705,62383,79184,6612,69229
C09003,C09,894014,591283,110005,55943,55954,9186,71643
C09005,C09,189927,173403,2206,5783,4865,352,3318
C09007,C09,165676,143144,7256,7442,4679,471,2684
C09009,C09,862477,582384,101763,48587,62360,8087,59296
C09011,C09,274055,214605,14488,21748,10608,1537,11069
C09013,C09,152691,133589,4701,7799,3536,310,2756
C09015,C09,118428,101138,1995,3944,4962,622,5767
C10001,C10,162310,105891,37812,9261,4108,1101,4137
C10003,C10,538479,331836,124426,35296,21119,3360,22442
C10005,C10,197145,149025,24544,6622,6638,571,9745
C11001,C11,601723,209464,301053,36457,22007,4072,28670
C12001,C12,247336,157466,49420,19698,14690,862,5200
C12003,C12,27115,22353,3651,591,333,29,158
C12005,C12,168852,133790,17844,9111,4941,336,2830
C12007,C12,28520,21066,5777,657,735,46,239
C12009,C12,543376,421466,52677,25290,29461,2122,12360
C12011,C12,1748066,760817,449677,99325,341414,17842,78991
C12013,C12,14625,11357,1991,522,461,20,274
C12015,C12,159978,137628,8622,4515,6431,467,2315
C12017,C12,141236,126549,3767,4336,4801,220,1563
C12019,C12,190865,147257,18085,10914,8830,746,5033
C12021,C12,321520,211156,19898,7289,58440,1189,23548
C12023,C12,67531,50475,11663,2117,2136,155,985
C12027,C12,34862,19549,4338,550,3545,93,6787
C12029,C12,16422,14220,1364,326,364,22,126
C12031,C12,864263,488826,250063,59976,37218,4955,23225
C12033,C12,297619,196901,67443,19214,8092,839,5130
C12035,C12,95696,72860,10470,4115,5850,414,1987
C12037,C12,11549,9188,1574,258,352,15,162
C12039,C12,46389,15335,25881,754,1311,115,2993
C12041,C12,16939,14882,884,328,514,13,318
C12043,C12,12884,7947,1538,679,1206,50,1464
C12045,C12,15863,11881,2937,367,503,25,150
C12047,C12,14799,8124,5038,331,727,64,515
C12049,C12,27731,13315,1877,644,6698,59,5138
C12051,C12,39140,13650,5057,1190,9786,204,9253
C12053,C12,172778,141847,8165,4970,12751,651,4394
C12055,C12,98786,69804,8750,3075,10168,513,6476
C12057,C12,1229226,660565,191260,70766,215572,13813,77250
C12059,C12,19927,17722,1140,621,321,7,116
C12061,C12,138028,106780,12074,3709,9566,323,5576
C12063,C12,49746,33111,13106,1386,1262,125,756
C12065,C12,14761,8668,5293,254,244,47,255
C12067,C12,8870,6266,1396,132,602,15,459
C12069,C12,297052,221365,27796,11882,22259,1307,12443
C12071,C12,618754,439048,47751,18647,74448,3318,35542
C12073,C12,275487,163483,82386,14257,9997,1134,4230
C12075,C12,40801,32958,3756,1040,1918,76,1053
C12077,C12,8365,6159,1472,216,303,25,190
C12079,C12,19224,10582,7423,320,488,37,374
C12081,C12,322833,236950,27228,10700,27372,1002,19581
C12083,C12,331298,245136,39337,10688,23148,1491,11498
C12085,C12,146318,117532,7493,3412,10159,349,7373
C12086,C12,2496435,383551,425650,63375,1458336,47326,118197
C12087,C12,73090,52089,3851,2079,13320,343,1408
C12089,C12,73314,64410,4581,1943,1399,87,894
C12091,C12,180822,139500,16333,12693,7082,464,4750
C12093,C12,39996,26258,3117,1060,4751,86,4724
C12095,C12,1145956,526754,223200,87758,202041,15041,91162
C12097,C12,268685,108292,24503,13744,82349,5866,33931
C12099,C12,1320134,793571,221209,54531,176550,7481,66792
C12101,C12,464697,372239,19010,18912,37545,1690,15301
C12103,C12,916542,704786,91922,46593,48106,2823,22312
C12105,C12,602095,388769,85336,21458,64085,3497,38950
C12107,C12,74364,53981,11842,1835,3487,188,3031
C12109,C12,190039,162194,10388,7485,7600,296,2076
C12111,C12,277789,170032,51373,10389,29304,1663,15028
C12113,C12,151372,128726,7940,8199,4194,265,2048
C12115,C12,379448,321978,17036,10401,20112,779,9142
C12117,C12,422718,280452,44196,25613,50212,2911,19334
C12119,C12,93420,77338,8736,1764,3555,286,1741
C12121,C12,41551,32300,4696,959,1999,58,1539
C12123,C12,22570,16483,4629,681,481,40,256
C12125,C12,15535,11123,3391,278,532,58,153
C12127,C12,494593,372982,49548,16846,35274,2243,17700
C12129,C12,30776,24472,4406,882,752,58,206
C12131,C12,55043,46857,3147,2118,1494,31,1396
C12133,C12,24896,19551,3698,914,463,47,223
C13001,C13,18236,12854,3360,318,531,32,1141
C13003,C13,8375,4776,1428,132,437,25,1577
C13005,C13,11096,8431,1696,178,294,8,489
C13007,C13,3451,1642,1600,64,33,13,99
C13009,C13,45720,24704,18866,1231,417,99,403
C13011,C13,18395,16526,416,412,351,11,679
C13013,C13,69367,51736,7769,3825,2929,120,2988
C13015,C13,100157,79803,10024,2640,3059,154,4477
C13017,C13,17634,10164,6087,357,282,17,727
C13019,C13,19286,16050,2040,311,277,23,585
C13021,C13,155547,65494,80744,4920,1705,372,2312
C13023,C13,13063,9000,3533,229,151,31,119
C13025,C13,18411,17198,531,339,182,7,154
C13027,C13,16243,9425,5695,270,297,34,522
C13029,C13,30233,23446,4210,1241,808,76,452
C13031,C13,70217,46251,19252,2275,964,157,1318
C13033,C13,23316,10844,11469,386,226,64,327
C13035,C13,23655,16200,6431,427,346,38,213
C13037,C13,6694,2250,4092,90,76,13,173
C13039,C13,50513,35977,9621,2325,1580,178,832
C13043,C13,10998,6949,2669,153,304,14,909
C13045,C13,110527,80531,19862,3334,3048,227,3525
C13047,C13,63942,59149,1356,1968,696,36,737
C13049,C13,12171,8116,3443,302,236,21,53
C13051,C13,265128,133492,105274,11992,6518,1118,6734
C13053,C13,11267,7089,2047,733,664,76,658
C13055,C13,26015,21589,2886,497,239,13,791
C13057,C13,214346,174243,11633,7904,11293,484,8789
C13059,C13,116714,66674,30695,7153,5564,293,6335
C13061,C13,3183,1188,1920,49,9,3,14
C13063,C13,259424,36610,169020,18347,12350,2460,20637
C13065,C13,6798,4536,1876,150,45,10,181
C13067,C13,688078,387438,168053,48257,40585,3721,40024
C13069,C13,42356,25907,11227,870,1479,56,2817
C13071,C13,45498,26759,10143,833,2682,67,5014
C13073,C13,124053,91517,18084,8277,3350,355,2470
C13075,C13,17212,11171,4684,333,354,20,650
C13077,C13,127317,92604,21744,4476,3990,285,4218
C13079,C13,12630,9282,2806,241,146,12,143
C13081,C13,23439,12216,10033,442,271,46,431
C13083,C13,16633,15796,142,403,177,3,112
C13085,C13,22330,20847,97,466,504,8,408
C13087,C13,27842,14615,11366,457,481,72,851
C13089,C13,691893,203395,370963,49711,26761,4762,36301
C13091,C13,21796,14273,6451,340,276,53,403
C13093,C13,14918,6461,7381,214,349,61,452
C13095,C13,94565,27315,63198,1979,671,272,1130
C13097,C13,132403,64911,51387,4980,4547,903,5675
C13099,C13,11008,5250,5441,146,74,21,76
C13101,C13,4034,2555,163,133,468,8,707
C13103,C13,52250,42311,6982,1456,871,66,564
C13105,C13,20166,12956,5906,337,341,44,582
C13107,C13,22598,13733,7541,403,195,21,705
C13109,C13,11000,6228,3165,166,243,40,1158
C13111,C13,23682,22761,75,415,246,8,177
C13113,C13,106567,72202,21117,6488,3600,278,2882
C13115,C13,96317,70959,13494,2877,3096,146,5745
C13117,C13,175511,140943,4287,13731,9003,223,7324
C13119,C13,22084,18913,1821,484,367,29,470
C13121,C13,920581,376014,400457,71544,33683,5118,33765
C13123,C13,28292,25078,98,439,1037,37,1603
C13125,C13,3082,2750,251,48,17,2,14
C13127,C13,79626,51602,20525,2373,2221,201,2704
C13129,C13,55186,44107,1945,1396,2925,60,4753
C13131,C13,25011,14879,7129,503,837,47,1616
C13133,C13,15994,8771,6078,252,285,27,581
C13135,C13,805321,354316,184122,104848,75247,6045,80743
C13137,C13,43041,34621,1412,1675,2272,32,3029
C13139,C13,179684,114300,12757,5721,18897,522,27487
C13141,C13,9429,2212,6959,119,88,24,27
C13143,C13,28780,26516,1342,604,191,11,116
C13145,C13,32024,24848,5457,847,544,49,279
C13147,C13,25213,19213,4691,523,302,19,465
C13149,C13,11834,10190,1152,269,94,7,122
C13151,C13,203922,107083,74056,10970,5118,1221,5474
C13153,C13,139900,84703,39535,7147,3923,463,4129
C13155,C13,9538,6719,2459,132,92,13,123
C13157,C13,60485,50695,4050,2004,1801,53,1882
C13159,C13,13900,10095,3030,265,176,7,327
C13161,C13,15068,11056,2212,223,407,12,1158
C13163,C13,16930,7015,9187,211,191,26,300
C13165,C13,8340,4508,3353,145,71,27,236
C13167,C13,9980,6219,3461,114,82,28,76
C13169,C13,28669,20830,6977,547,159,31,125
C13171,C13,18317,11943,5621,412,155,29,157
C13173,C13,10078,6899,2367,351,219,23,219
C13175,C13,48434,28920,17268,1103,435,56,652
C13177,C13,28298,21453,5239,1046,310,29,221
C13179,C13,63453,27085,26018,4191,2796,787,2576
C13181,C13,7996,5201,2562,135,56,8,34
C13183,C13,14464,8491,3541,654,535,106,1137
C13185,C13,109233,61234,38815,3946,2251,327,2660
C13187,C13,29966,27519,310,793,758,30,556
C13189,C13,21875,12310,8661,429,208,45,222
C13191,C13,14333,8716,5132,258,95,17,115
C13193,C13,14740,4961,8902,350,216,31,280
C13195,C13,28120,24106,2320,555,528,35,576
C13197,C13,8742,5100,2837,235,154,19,397
C13199,C13,21992,12606,8583,456,135,22,190
C13201,C13,6125,4237,1697,98,29,23,41
C13205,C13,23498,10894,11185,391,370,34,624
C13207,C13,26424,19101,6249,539,264,19,252
C13209,C13,9123,6144,2372,127,147,25,308
C13211,C13,17868,12814,4199,361,170,9,315
C13213,C13,39628,33666,212,596,1654,33,3467
C13215,C13,189885,82890,85119,9766,4980,1284,5846
C13217,C13,99958,51995,40371,2957,1759,507,2369
C13219,C13,32808,28306,1610,1456,698,25,713
C13221,C13,14899,11429,2557,367,233,9,304
C13223,C13,142324,106739,23810,4511,3778,511,2975
C13225,C13,27695,12499,12647,659,884,68,938
C13227,C13,29431,27802,297,513,369,15,435
C13229,C13,18758,15860,1646,365,433,20,434
C13231,C13,17869,15506,1825,345,100,12,81
C13233,C13,41475,30492,5150,948,1482,40,3363
C13235,C13,12010,7494,3808,243,185,16,264
C13237,C13,21218,14024,5497,350,384,25,938
C13239,C13,2513,1265,1198,16,25,6,3
C13241,C13,16276,14468,144,363,717,12,572
C13243,C13,7719,2781,4747,72,46,22,51
C13245,C13,200549,76236,107365,8741,3388,1268,3551
C13247,C13,85215,34826,38996,3330,3361,563,4139
C13249,C13,5010,3612,1167,70,46,2,113
C13251,C13,14593,7898,6283,232,67,35,78
C13253,C13,8729,5516,2887,122,78,29,97
C13255,C13,64073,38986,20937,1699,1162,93,1196
C13257,C13,26175,22006,2821,715,280,24,329
C13259,C13,6058,1655,2833,116,41,31,1382
C13261,C13,32819,13413,16894,795,439,107,1171
C13263,C13,6865,2639,4039,96,40,26,25
C13265,C13,1717,625,1024,33,15,0,20
C13267,C13,25520,15196,7424,398,795,41,1666
C13269,C13,8906,5123,3485,134,85,18,61
C13271,C13,16500,8429,5830,215,969,187,870
C13273,C13,9315,3366,5683,109,41,17,99
C13275,C13,44720,26081,16416,948,564,81,630
C13277,C13,40118,23555,11549,977,1090,69,2878
C13279,C13,27223,16887,6716,565,841,51,2163
C13281,C13,10471,10102,39,124,130,2,74
C13283,C13,6885,4466,2239,77,22,8,73
C13285,C13,67044,40408,22319,2147,808,75,1287
C13287,C13,8930,4820,3697,131,66,15,201
C13289,C13,9023,5059,3703,137,64,21,39
C13291,C13,21356,20345,95,397,323,4,192
C13293,C13,27153,18522,7544,499,171,46,371
C13295,C13,68756,63343,2809,1491,575,20,518
C13297,C13,83768,65677,12993,2415,1380,110,1193
C13299,C13,36312,23583,10662,860,520,59,628
C13301,C13,5834,2133,3584,63,19,18,17
C13303,C13,21187,9339,11124,317,192,49,166
C13305,C13,30099,21749,5928,703,809,68,842
C13307,C13,2799,1492,1177,32,20,8,70
C13309,C13,7421,4405,2582,78,147,32,177
C13311,C13,27144,25453,454,590,371,3,273
C13313,C13,102599,63818,3631,2679,14805,214,17452
C13315,C13,9255,5544,3233,140,162,19,157
C13317,C13,10593,5495,4516,221,121,19,221
C13319,C13,9563,5529,3664,156,69,8,137
C13321,C13,21679,15044,5951,349,188,27,120
C15001,C15,185079,57831,899,104966,4517,121,16745
C15003,C15,953207,181684,17929,676161,17048,1327,59058
C15005,C15,90,24,0,65,0,0,1
C15007,C15,67091,20611,258,39907,1548,20,4747
