FIPS,StateFIPS,TotPop,NHisWhite,NHisBlack,NHisOther,HisWhite,HisBlack,HisOther
C01001,C01,54571,42154,9595,1512,701,48,561
C01003,C01,182265,152200,16966,5107,3953,139,3900
C01005,C01,27457,12837,12820,413,343,55,989
C01007,C01,22915,17191,5024,294,190,23,193
C01009,C01,57322,50952,724,1020,2116,37,2473
C01011,C01,10914,2392,7637,108,115,29,633
C01013,C01,20947,11324,9047,385,75,48,68
C01015,C01,118572,87285,24177,3217,1555,205,2133
C01017,C01,34215,19893,13206,580,219,51,266
C01019,C01,25989,23929,1206,534,152,2,166
C01021,C01,43643,35395,4171,657,1318,59,2043
C01023,C01,13859,7700,5990,96,31,22,20
C01025,C01,25833,13943,11280,339,127,56,88
C01027,C01,13932,11186,2048,299,194,18,187
C01029,C01,14972,13956,494,215,123,4,180
C01031,C01,49948,36134,8257,2377,1196,102,1882
C01033,C01,54428,43334,8702,1299,455,66,572
C01035,C01,13228,6764,6122,181,24,27,110
C01037,C01,11539,7604,3556,149,44,26,160
C01039,C01,37765,31751,4685,846,271,31,181
C01041,C01,13906,10020,3241,441,77,13,114
C01043,C01,80406,74568,821,1563,1565,35,1854
C01045,C01,50251,35705,9546,2179,1531,133,1157
C01047,C01,43820,12676,30314,521,93,109,107
C01049,C01,71109,57997,1029,2393,2090,49,7551
C01051,C01,79303,59449,15814,1911,1006,86,1037
C01053,C01,38319,23508,12162,1931,276,58,384
C01055,C01,104430,82789,15716,2478,1034,80,2333
C01057,C01,17241,14832,1958,247,78,11,115
C01059,C01,31704,25249,1211,534,1071,17,3622
C01061,C01,26790,22692,2523,655,435,16,469
C01063,C01,9045,1562,7349,65,13,21,35
C01065,C01,15760,6213,9265,142,53,36,51
C01067,C01,17302,11731,4915,267,134,27,228
C01069,C01,101547,69731,26038,2783,1322,138,1535
C01071,C01,53227,47937,1771,2180,411,10,918
C01073,C01,658466,340213,275511,17254,8953,1014,15521
C01075,C01,14564,12542,1635,207,84,8,88
C01077,C01,92709,79228,9190,2209,884,67,1131
C01079,C01,34339,26420,3917,3428,227,21,326
C01081,C01,140247,97900,31674,6102,2106,227,2238
C01083,C01,82782,65112,10350,2729,1394,79,3118
C01085,C01,11299,2841,8283,88,18,27,42
C01087,C01,21452,3267,17631,322,52,98,82
C01089,C01,334811,221445,79517,18445,6835,859,7710
C01091,C01,21027,9607,10838,230,144,34,174
C01093,C01,30776,28509,1178,457,282,6,344
C01095,C01,93019,78060,1389,2332,3404,105,7729
C01097,C01,412992,243904,142272,16880,4743,720,4473
C01099,C01,23068,12621,9581,646,97,33,90
C01101,C01,229363,88099,124928,8022,2557,549,5208
C01103,C01,119490,92585,14059,3690,2819,126,6211
C01105,C01,10591,3142,7244,91,62,32,20
C01107,C01,19746,11027,8169,237,83,42,188
C01109,C01,32899,18887,11990,1292,257,64,409
C01111,C01,22913,17280,4604,380,252,3,394
C01113,C01,52947,27591,21926,1484,858,209,879
C01115,C01,83593,72947,7098,1832,794,52,870
C01117,C01,195085,156371,20606,6541,5572,126,5869
C01119,C01,13763,3304,10283,90,22,33,31
C01121,C01,82291,53079,25953,1588,660,102,909
C01123,C01,41616,28838,11050,686,249,33,760
C01125,C01,194656,126611,57401,4695,2393,210,3346
C01127,C01,67023,60587,3885,1244,559,43,705
C01129,C01,17581,11455,4360,1615,53,20,78
C01131,C01,11670,3110,8420,68,16,45,11
C01133,C01,24484,23237,115,493,172,0,467
C02013,C02,3141,425,212,2119,235,7,143
C02016,C02,5561,1745,318,2772,259,14,453
C02020,C02,291826,182814,15308,71643,9684,918,11459
C02050,C02,17013,1854,65,14913,40,0,141
C02060,C02,997,476,0,497,5,0,19
C02068,C02,1826,1614,10,160,23,0,19
C02070,C02,4847,855,11,3880,23,0,78
C02090,C02,97581,72259,4154,15517,2916,269,2466
C02100,C02,2508,2062,9,390,24,1,22
C02105,C02,2150,993,8,1072,21,0,56
C02110,C02,31275,21065,259,8363,749,20,819
C02122,C02,55400,45879,248,7632,978,21,642
C02130,C02,13477,8918,76,3945,258,2,278
C02150,C02,13592,7137,85,5374,385,7,604
C02164,C02,1631,362,9,1217,18,0,25
C02170,C02,88995,73676,817,11201,1864,39,1398
C02180,C02,9492,1511,27,7839,41,0,74
C02185,C02,9430,3059,91,6031,88,3,158
C02188,C02,7523,830,35,6600,16,2,40
C02195,C02,3815,2649,15,1021,62,0,68
C02198,C02,5559,2756,17,2659,43,0,84
C02220,C02,8881,5641,43,2760,157,4,276
C02230,C02,968,872,0,75,13,0,8
C02240,C02,7029,5535,71,1189,116,5,113
C02261,C02,9636,6949,45,2293,178,1,170
C02270,C02,7459,199,1,7252,2,0,5
C02275,C02,2369,1699,4,629,20,0,17
C02282,C02,662,268,2,375,13,0,4
C02290,C02,5588,1218,9,4295,25,1,40
C04001,C04,71518,14568,157,52680,2066,18,2029
C04003,C04,131346,76805,4936,7062,26280,529,15734
C04005,C04,134421,74231,1495,40529,8736,134,9296
C04007,C04,53597,35298,195,8516,5864,38,3686
C04009,C04,37220,19483,633,5784,7344,50,3926
C04011,C04,8437,4054,79,264,2460,10,1570
C04012,C04,20489,12854,115,2714,1452,14,3340
C04013,C04,3817117,2240055,177490,270831,546726,13029,568986
C04015,C04,200186,159378,1715,9524,14500,167,14902
C04017,C04,107449,47181,842,47855,5791,96,5684
C04019,C04,980263,541700,31075,68686,187051,3599,148152
C04021,C04,375770,220486,16007,32300,51527,1208,54242
C04023,C04,47420,7564,89,494,27271,90,11912
C04025,C04,211033,172968,1104,8233,15547,163,13018
C04027,C04,195751,69022,3169,6648,68859,762,47291
C05001,C05,19019,13511,4634,361,148,27,338
C05003,C05,21853,14901,5619,264,242,21,806
C05005,C05,41513,39837,59,929,394,8,286
C05007,C05,221339,169605,2647,14804,13212,167,20904
C05009,C05,36903,35139,64,1026,485,8,181
C05011,C05,11508,6676,3167,149,258,6,1252
C05013,C05,5368,3939,1190,87,62,2,88
C05015,C05,27446,23062,74,821,1531,29,1929
C05017,C05,11800,4761,6347,150,103,34,405
C05019,C05,22995,16177,5366,526,341,47,538
C05021,C05,16083,15577,56,233,105,0,112
C05023,C05,25970,24894,67,492,236,5,276
C05025,C05,8689,7394,1053,97,58,6,81
C05027,C05,24552,14545,9006,468,151,53,329
C05029,C05,21273,17533,2376,607,384,9,364
C05031,C05,96443,76760,12564,2842,1563,76,2638
C05033,C05,61948,53770,696,3722,1424,29,2307
C05035,C05,50902,23028,25953,907,418,98,498
C05037,C05,17870,13343,3966,295,152,6,108
C05039,C05,8116,4393,3396,139,83,4,101
C05041,C05,13008,6083,6176,171,147,40,391
C05043,C05,18509,12587,5139,329,152,5,297
C05045,C05,113237,93326,11495,3981,2094,73,2268
C05047,C05,18125,16997,124,633,224,6,141
C05049,C05,12245,11805,39,304,52,1,44
C05051,C05,96024,80621,7552,3229,2343,63,2216
C05053,C05,17853,16801,385,275,139,5,248
C05055,C05,42090,40166,232,791,412,1,488
C05057,C05,22609,12770,6623,503,661,23,2029
C05059,C05,32923,27703,3544,757,476,24,419
C05061,C05,13789,9292,2813,335,602,33,714
C05063,C05,36647,32914,709,885,774,13,1352
C05065,C05,13696,13006,175,307,112,0,96
C05067,C05,17997,14180,2988,393,183,12,241
C05069,C05,77435,32050,42485,1681,457,154,608
C05071,C05,25540,21328,336,782,952,28,2114
C05073,C05,7645,4583,2837,94,59,8,64
C05075,C05,17415,16848,134,275,104,3,51
C05077,C05,10424,4320,5740,196,61,21,86
C05079,C05,14134,9296,4211,175,111,12,329
C05081,C05,13171,9831,2508,475,117,11,229
C05083,C05,22353,20608,285,950,236,12,262
C05085,C05,68356,60108,4059,1943,1245,16,985
C05087,C05,15717,14451,27,480,260,1,498
C05089,C05,16653,15963,28,375,183,2,102
C05091,C05,43462,30691,10589,1144,443,78,517
C05093,C05,46480,28106,15761,918,547,56,1092
C05095,C05,8149,4549,3314,154,35,16,81
C05097,C05,9487,8806,17,303,152,5,204
C05099,C05,8997,5861,2758,158,72,6,142
C05101,C05,8330,7894,5,290,107,4,30
C05103,C05,26120,14706,10434,572,177,34,197
C05105,C05,10445,9779,196,223,160,0,87
C05107,C05,21757,7535,13652,283,83,67,137
C05109,C05,11291,9963,327,274,200,3,524
C05111,C05,24583,21881,1764,395,208,11,324
C05113,C05,20662,18549,54,869,595,11,584
C05115,C05,61754,53667,1748,2171,1606,36,2526
C05117,C05,8715,7470,1061,103,59,3,19
C05119,C05,382748,211697,133242,15641,8354,616,13198
C05121,C05,17969,17226,128,332,113,0,170
C05123,C05,28258,11973,14565,571,529,102,518
C05125,C05,107118,95298,4945,2788,1680,49,2358
C05127,C05,11233,9587,51,813,293,2,487
C05129,C05,8195,7800,3,271,67,9,45
C05131,C05,125744,91585,7848,10866,4759,171,10515
C05133,C05,17058,10416,717,705,1533,17,3670
C05135,C05,17264,16399,91,484,183,2,105
C05137,C05,12394,11912,11,314,83,0,74
C05139,C05,41639,25722,13674,783,554,47,859
C05141,C05,17295,16282,65,473,316,3,156
C05143,C05,203065,150546,5828,15233,11707,178,19573
C05145,C05,77076,69026,3033,2138,1399,41,1439
C05147,C05,7260,5041,1989,143,34,5,48
C05149,C05,22185,17020,288,647,2206,19,2005
C06001,C06,1510271,514559,184126,471697,134563,6325,199001
C06003,C06,1175,852,0,239,29,0,55
C06005,C06,38091,30325,938,2072,2824,24,1908
C06007,C06,220000,165416,3133,20335,14680,282,16154
C06009,C06,45578,38074,355,2446,2448,28,2227
C06011,C06,21419,8524,168,923,5330,27,6447
C06013,C06,1049025,500923,93604,198938,113589,3557,138414
C06015,C06,28610,18513,967,4037,2585,26,2482
C06017,C06,181058,144689,1296,13198,12104,113,9658
C06019,C06,930450,304522,45005,112853,210623,4518,252929
C06021,C06,28122,15717,192,1674,4273,39,6227
