FIPS,StateFIPS,TotPop,NHisWhite,NHisBlack,NHisOther,HisWhite,HisBlack,HisOther
C01001,C01,58805,41582,11352,3754,578,93,1446
C01003,C01,231767,186495,18001,14585,2904,216,9566
C01005,C01,25223,11086,11850,777,231,83,1196
C01007,C01,22293,16442,4390,721,113,23,604
C01009,C01,59134,49764,826,2773,899,19,4853
C01011,C01,10357,2281,7388,185,39,8,456
C01013,C01,19051,9679,8389,723,73,41,146
C01015,C01,116441,79519,25365,6547,1067,194,3749
C01017,C01,34772,18616,13441,1478,234,71,932
C01019,C01,24971,22563,987,1021,144,0,256
C01021,C01,45014,34878,4040,1678,649,27,3742
C01023,C01,12665,7039,5217,296,35,15,63
C01025,C01,23087,11970,10223,688,59,32,115
C01027,C01,14236,11261,1942,584,114,21,314
C01029,C01,15056,13740,457,575,79,9,196
C01031,C01,53465,35759,8643,4176,1321,117,3449
C01033,C01,57227,43241,9222,3032,390,64,1278
C01035,C01,11597,5835,5096,410,77,8,171
C01037,C01,10387,6807,3000,379,17,8,176
C01039,C01,37570,30657,4563,1696,220,44,390
C01041,C01,13194,9333,3085,589,55,18,114
C01043,C01,87866,78298,914,4508,844,23,3279
C01045,C01,49326,32602,10100,3370,827,141,2286
C01047,C01,38462,10363,26812,991,46,87,163
C01049,C01,71608,54529,1019,4316,1891,27,9826
C01051,C01,87977,62540,18126,4518,599,85,2109
C01053,C01,36757,22004,10922,3080,198,69,484
C01055,C01,103436,77731,14999,5811,853,147,3895
C01057,C01,16321,13552,1720,653,114,16,266
C01059,C01,32113,23581,1139,1134,752,27,5480
C01061,C01,26659,21654,2231,1478,424,10,862
C01063,C01,7730,1285,6227,157,16,19,26
C01065,C01,14785,5972,8313,351,27,24,98
C01067,C01,17146,11842,4232,738,46,16,272
C01069,C01,107202,68251,28232,6238,1014,176,3291
C01071,C01,52579,45123,1624,4151,357,12,1312
C01073,C01,674721,324252,280112,35501,5338,1214,28304
C01075,C01,13972,11924,1421,419,38,4,166
C01077,C01,93564,76491,9164,4831,650,79,2349
C01079,C01,33073,24714,3302,4162,201,2,692
C01081,C01,174241,109795,39252,16059,1856,318,6961
C01083,C01,103570,75692,13177,7453,1372,130,5746
C01085,C01,10311,2807,7149,215,11,43,86
C01087,C01,19532,3187,15395,589,65,46,250
C01089,C01,388153,237497,91079,34641,5013,987,18936
C01091,C01,19323,8375,10133,447,53,55,260
C01093,C01,29341,26093,1094,1291,219,12,632
C01095,C01,97612,74666,2293,4995,2260,135,13263
C01097,C01,414809,226703,145435,29246,2847,819,9759
C01099,C01,19772,10334,8253,978,57,46,104
C01101,C01,228954,73354,129801,15115,1720,666,8298
C01103,C01,123421,88238,15307,7499,1631,146,10600
C01105,C01,8511,2345,5914,163,14,22,53
C01107,C01,19123,10066,7448,556,673,41,339
C01109,C01,33009,18036,12068,2000,239,70,596
C01111,C01,21967,16629,3814,919,143,1,461
C01113,C01,59183,26679,25930,3379,853,313,2029
C01115,C01,91103,74962,8617,4949,766,35,1774
C01117,C01,223024,162712,28711,15141,2494,228,13738
C01119,C01,12345,2937,8955,322,37,42,52
C01121,C01,82149,50732,26340,3298,482,99,1198
C01123,C01,41311,28252,10366,1549,225,43,876
C01125,C01,227036,134880,68779,11079,1702,309,10287
C01127,C01,65342,56394,3889,2907,618,40,1494
C01129,C01,15388,10267,3318,1665,42,0,96
C01131,C01,10600,2866,7425,197,14,58,40
C01133,C01,23540,21598,131,996,162,10,643
C02013,C02,3420,658,297,1791,26,0,648
C02016,C02,5232,1585,257,2722,82,2,584
C02020,C02,291247,158232,13777,92800,6214,799,19425
C02050,C02,18666,1628,84,16747,37,1,169
C02060,C02,844,357,6,436,13,0,32
C02063,C02,7102,4768,46,1891,139,3,255
C02066,C02,2617,1591,6,936,20,2,62
C02068,C02,1619,1378,9,200,4,2,26
