StateFIPS,StTotPop,StNHisWhite,StNHisBlack,StHisWhite,StHisBlack
C01,4040587,2960167,1017713,15630,2992
C02,550043,406722,21799,8770,652
C04,3665228,2626185,104809,337001,5715
C05,2350725,1933082,372762,11662,1150
C06,29760021,17029126,2092446,3495201,116355
C08,3294394,2658945,128057,246529,5089
C09,3287116,2754184,260840,105169,13429
C10,666168,528092,111011,7002,1449
C11,606900,166131,395213,13536,4391
C12,12937926,9475326,1701103,1273959,58431
C13,6478216,4543425,1737165,56723,9400
C15,1108229,347644,25916,21972,1279
C16,1006749,928661,3211,21790,159
C17,11430602,8550208,1673703,402770,20570
C18,5544159,4965242,428612,55458,3480
C19,2776755,2663840,47493,19250,597
C20,2477574,2190524,140761,41462,2315
C21,3685296,3378022,261360,13810,1547
C22,4219973,2776022,1291470,63116,7811
C23,1227928,1203357,4937,5003,201
C24,4781468,3326109,1177823,67855,12076
C25,6016425,5280292,274464,125082,25666
C26,9295297,7649951,1282744,106135,8962
C27,4375099,4101266,93040,29129,1904
C28,2573216,1624198,911891,9263,3166
C29,5117073,4448465,545527,37763,2681
C30,799065,733878,2242,7233,139
C31,1578385,1460095,56711,20463,693
C32,1201833,946357,76503,66338,2268
C33,1109252,1079484,6749,7949,449
C34,7730188,5718966,984845,411499,51980
C35,1515069,764164,27642,381864,2568
C36,17990455,12460189,2569126,925066,289929
C37,6628637,4971127,1449142,37364,7181
C38,638800,601592,3451,2550,73
C39,10847115,9444622,1147440,77134,7386
C40,3145585,2547588,231462,35924,2339
C41,2842321,2579732,44982,57055,1196
C42,11881643,10422058,1072459,98143,17336
C44,1003464,896109,34283,21266,4578
C45,3486703,2390056,1035947,16918,3937
C46,696004,634788,3176,2727,82
C47,4877185,4027631,774925,20437,3110
C48,16986510,10291680,1976360,2483082,45272
C49,1722850,1571254,10868,44591,708
C50,562758,552184,1868,2904,83
C51,6187358,4701650,1153133,90089,9861
C53,4866692,4221622,146000,87315,3801
C54,1793477,1718896,55986,6627,309
C55,4891769,4464677,241697,47846,2842
C56,453588,412711,3426,14350,180
