StateFIPS,StTotPop,StNHisWhite,StNHisBlack,StHisWhite,StHisBlack
C01,4779736,3204402,1244437,70992,6874
C02,710231,455320,21949,18256,1314
C04,6392017,3695647,239101,971474,19907
C05,2915918,2173469,447102,71760,2793
C06,37253956,14956253,2163804,6497681,135268
C08,5029196,3520793,188778,568409,12959
C09,3574097,2546262,335119,226148,27177
C10,897934,586752,186782,31865,5032
C11,601723,209464,301053,22007,4072
C12,18801310,10884722,2851100,3224440,148762
C13,9687653,5413920,2910800,373520,39635
C15,1360301,309343,19904,27256,1520
C16,1567582,1316243,8875,80244,935
C17,12830632,8167753,1832924,1010124,33490
C18,6483802,5286453,582140,181453,9257
C19,3046355,2701123,86906,80438,2242
C20,2853118,2230539,162700,160505,5164
C21,4339367,3745655,333075,63882,4445
C22,4533372,2734884,1442420,101308,9976
C23,1328361,1254297,15154,10674,553
C24,5773552,3157958,1674229,201326,26069
C25,6547629,4984800,391693,280436,42705
C26,9883640,7569939,1383756,233181,16606
C27,5303925,4405142,269141,118920,5271
C28,2967297,1722287,1093512,32397,4873
C29,5988927,4850748,687149,108022,6242
C30,989415,868628,3743,16333,284
C31,1826341,1499753,80959,73085,1926
C32,2700551,1462081,208058,324607,10568
C33,1316470,1215050,13625,21000,1410
C34,8791894,5214878,1125401,814370,79425
C35,2059179,833810,35462,574066,7088
C36,19378102,11304247,2783857,1436727,289943
C37,9535483,6223995,2019854,304955,28774
C38,672591,598007,7720,7442,240
C39,11536504,9359263,1389115,180174,18566
C40,3751351,2575381,272071,131464,5573
C41,3831074,3005848,64984,198766,4222
C42,12702379,10094652,1327091,311636,50598
C44,1052567,803685,51560,53184,8629
C45,4625364,2962740,1279998,97260,10686
C46,814180,689502,9959,9890,248
C47,6346105,4800782,1049391,121166,7924
C48,25145561,11397345,2886825,6304207,92773
C49,2763885,2221719,25951,157841,3336
C50,625741,590223,5943,6069,334
C51,8001024,5186450,1523704,300402,27695
C53,6724540,4876804,229603,319558,10439
C54,1852994,1726256,62122,13732,1002
C55,5686986,4738411,350898,163656,8250
C56,563626,483874,4351,27405,397
C72,3725789,26946,4663,2798154,456835
